Time (s),Temp sensor (deg C)
0,60.8
0.177,60.73
0.355,60.7
0.532,60.87
0.71,60.83
0.887,60.8
1.066,60.87
1.244,60.83
1.421,60.9
1.599,60.87
1.78,60.87
1.959,60.8
2.137,60.77
2.314,60.83
2.492,60.77
2.669,60.7
2.847,60.7
3.024,60.83
3.203,60.8
3.38,60.66
3.558,60.7
3.736,60.66
3.917,60.77
4.095,60.73
4.273,60.8
4.45,60.8
4.628,60.77
4.805,60.73
4.983,60.8
5.162,60.59
5.339,60.73
5.517,60.66
5.694,60.7
5.872,60.63
6.055,60.73
6.232,60.73
6.41,60.56
6.587,60.63
6.765,60.7
6.942,60.66
7.12,60.63
7.298,60.63
7.476,60.59
7.654,60.59
7.831,60.59
8.009,60.56
8.191,60.46
8.369,60.56
8.546,60.59
8.724,60.56
8.902,60.56
9.079,60.56
9.258,60.53
9.435,60.42
9.613,60.53
9.79,60.59
9.968,60.49
10.145,60.59
10.328,60.56
10.505,60.46
10.683,60.49
10.86,60.49
11.038,60.53
11.215,60.49
11.394,60.53
11.571,60.39
11.749,60.29
11.927,60.36
12.104,60.53
12.287,60.36
12.464,60.39
12.642,60.49
12.819,60.29
12.997,60.32
13.174,60.39
13.353,60.39
13.53,60.46
13.708,60.42
13.886,60.25
14.063,60.32
14.241,60.22
14.423,60.25
14.601,60.29
14.778,60.25
14.956,60.22
15.133,60.15
15.311,60.15
15.49,60.22
15.667,60.25
15.845,60.25
16.022,60.29
16.2,60.36
16.377,60.22
16.56,60.25
16.737,60.32
16.915,60.22
17.093,60.15
17.27,60.12
17.449,60.25
17.626,60.15
17.804,60.32
17.981,60.15
18.159,60.05
18.336,60.08
18.515,60.12
18.696,60.18
18.874,60.12
19.051,60.18
19.229,60.12
19.407,60.15
19.585,60.12
19.763,60.08
19.94,60.08
20.118,60.01
20.295,60.08
20.473,60.15
20.651,60.01
20.833,60.05
21.011,60.05
21.188,59.95
21.366,60.18
21.544,59.95
21.722,59.91
21.899,59.98
22.077,59.95
22.255,59.98
22.432,59.88
22.611,59.81
22.788,59.98
22.97,60.05
23.147,59.81
23.325,59.88
23.502,60.05
23.681,60.01
23.858,59.91
24.036,59.81
24.214,59.77
24.391,59.88
24.569,59.84
24.747,59.81
24.925,59.77
25.107,59.74
25.284,59.74
25.462,59.84
25.64,59.77
25.818,59.71
25.995,59.81
26.173,59.74
26.35,59.91
26.528,59.74
26.707,59.74
26.884,59.71
27.062,59.74
27.243,59.74
27.421,59.74
27.598,59.74
27.777,59.74
27.954,59.67
28.132,59.6
28.309,59.6
28.487,59.77
28.665,59.67
28.843,59.71
29.021,59.6
29.198,59.77
29.38,59.57
29.557,59.6
29.736,59.74
29.914,59.6
30.091,59.64
30.269,59.64
30.446,59.64
30.624,59.6
30.802,59.6
30.98,59.6
31.157,59.6
31.335,59.54
31.516,59.54
31.694,59.5
31.873,59.57
32.05,59.64
32.228,59.43
32.405,59.6
32.583,59.57
32.76,59.54
32.939,59.5
33.116,59.54
33.294,59.5
33.476,59.5
33.653,59.54
33.832,59.5
34.009,59.5
34.187,59.47
34.364,59.47
34.542,59.47
34.72,59.47
34.898,59.47
35.076,59.43
35.253,59.4
35.431,59.43
35.612,59.43
35.79,59.47
35.968,59.47
36.146,59.33
36.323,59.43
36.501,59.4
36.678,59.4
36.856,59.3
37.035,59.36
37.212,59.4
37.39,59.26
37.567,59.33
37.749,59.36
37.928,59.33
38.105,59.47
38.283,59.33
38.46,59.26
38.638,59.33
38.816,59.33
38.994,59.3
39.172,59.36
39.349,59.26
39.527,59.3
39.704,59.23
39.891,59.26
40.068,59.3
40.246,59.19
40.423,59.3
40.601,59.12
40.778,59.33
40.957,59.26
41.134,59.26
41.312,59.33
41.49,59.23
41.667,59.19
41.845,59.26
42.028,59.23
42.206,59.23
42.383,59.09
42.561,59.19
42.739,59.16
42.916,59.16
43.095,59.23
43.272,59.12
43.45,59.19
43.627,59.19
43.805,59.12
43.983,59.19
44.166,59.16
44.343,59.09
44.521,59.09
44.698,59.06
44.876,59.02
45.055,59.12
45.232,59.16
45.41,59.06
45.587,59.16
45.765,59.12
45.942,58.95
46.121,59.09
46.303,59.06
46.48,59.09
46.658,59.02
46.835,59.09
47.013,59.06
47.192,59.06
47.369,59.02
47.547,58.99
47.724,59.02
47.902,58.92
48.079,58.99
48.258,58.99
48.439,58.95
48.617,59.02
48.794,58.89
48.972,58.92
49.15,58.95
49.328,58.95
49.506,59.02
49.683,58.92
49.861,59.02
50.038,58.95
50.217,58.92
50.394,58.92
50.577,58.95
50.754,59.02
50.932,58.99
51.109,58.85
51.288,58.92
51.466,58.92
51.643,58.95
51.821,58.89
51.998,58.92
52.176,58.85
52.354,58.89
52.532,58.92
52.715,58.68
52.892,58.75
53.07,58.95
53.248,58.85
53.426,58.85
53.603,58.78
53.781,58.85
53.959,58.78
54.136,58.78
54.315,58.92
54.492,58.78
54.67,58.78
54.852,58.92
55.03,58.75
55.208,58.78
55.386,58.78
55.563,58.78
55.741,58.78
55.919,58.71
56.096,58.82
56.275,58.82
