Time (s),Position (m)
0.008712042,5.89E-05
0.018727042,0.000176869
0.028743042,0.00032424
0.038758042,0.000515652
0.048773042,0.000746948
0.058788042,0.001053301
0.068803042,0.001422747
0.078818042,0.001805222
0.088833042,0.002223258
0.098848042,0.002700388
0.108863042,0.003245793
0.118878042,0.003845903
0.128893042,0.00450471
0.138908042,0.005168666
0.148923042,0.005909486
0.158938042,0.006697646
0.168954042,0.007566944
0.178969042,0.00850169
0.188984042,0.009439545
0.198999042,0.010464714
0.209014042,0.011539947
0.219029042,0.012648641
0.229044417,0.013855706
0.239059417,0.01510683
0.249074417,0.016421586
0.259089417,0.017780484
0.269104417,0.019215645
0.279119417,0.020664458
0.289134417,0.022195653
0.299150417,0.023754569
0.309165417,0.025390912
0.319180417,0.027086535
0.329195417,0.028770118
0.339210417,0.03058187
0.349225417,0.032374507
0.359240417,0.034171941
0.369255417,0.036082646
0.379270417,0.038113056
0.389285417,0.040078642
0.399300417,0.042170604
0.409315417,0.04426003
0.419330417,0.046387808
0.429346417,0.048602872
0.439361417,0.050893081
0.449376417,0.053156852
0.459391417,0.055514791
0.469406417,0.057953399
0.479421417,0.06040718
0.489436417,0.062902128
0.499451417,0.065459904
0.509466417,0.068014401
0.519481417,0.070657035
0.529496417,0.073389373
0.539511417,0.076099717
0.549526417,0.078893661
0.559542417,0.081753616
0.569557417,0.084559499
0.579572417,0.087502026
0.589587417,0.090474043
0.599602417,0.093428713
0.609617417,0.09648535
0.619632417,0.099647985
0.629647417,0.102773115
0.639662417,0.106022441
0.649677417,0.109238366
0.659692417,0.112554311
0.669707417,0.11584482
0.679722417,0.119218215
0.689737417,0.122721221
0.699753417,0.126262844
0.709768417,0.129619054
0.719783417,0.133092554
0.729798417,0.136605265
0.739813417,0.140157778
0.749828417,0.143491885
0.759843417,0.147006853
0.769858417,0.150638673
0.779873417,0.15420744
0.789888417,0.157878688
0.799903417,0.161562429
0.809918417,0.165233144
0.819933417,0.168972102
0.829949417,0.17266677
0.839964417,0.176513222
0.849979417,0.180358904
0.859994417,0.18426607
0.870009417,0.188079173
0.880024417,0.192063969
0.890039417,0.195991678
0.900054417,0.200034735
0.910069417,0.204126826
0.920084417,0.208210642
0.930099417,0.212328678
0.940114417,0.216496231
0.950129417,0.220734842
0.960145417,0.224979389
0.970160417,0.22918111
0.980175417,0.233428007
0.990190417,0.237754849
1.000205417,0.242088571
1.010220417,0.24648662
1.020235417,0.25096999
1.030250417,0.255376843
1.040265417,0.259728705
1.050280417,0.264268914
1.060295417,0.268774127
1.070310417,0.273210816
1.080325417,0.277803765
1.090340417,0.282385896
1.100356417,0.286980249
1.110371417,0.291631379
