Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Momentum (Ns),Kinetic Energy (J)
0.098848042,0.002700388,5.45E-02,5.45E-01,8.17E-02,2.22E-03
0.198999042,0.010464714,1.07E-01,3.34E-01,1.61E-01,8.64E-03
0.299150417,0.023754569,1.63E-01,5.91E-01,2.45E-01,2.00E-02
0.399300417,0.042170604,2.09E-01,3.82E-01,3.13E-01,3.26E-02
0.499451417,0.065459904,2.55E-01,8.79E-01,3.83E-01,4.88E-02
0.599602417,0.093428713,3.05E-01,1.06E+00,4.58E-01,6.99E-02
0.699753417,0.126262844,3.35E-01,1.17E+00,5.03E-01,8.42E-02
0.799903417,0.161562429,3.67E-01,6.80E-01,5.50E-01,1.01E-01
0.900054417,0.200034735,4.09E-01,-8.25E-02,6.13E-01,1.25E-01
1.000205417,0.242088571,4.39E-01,8.51E-01,6.59E-01,1.45E-01
1.100356417,0.286980249,4.64E-01,1.23E+00,6.97E-01,1.62E-01
1.200506417,0.335065474,4.96E-01,1.55E+00,7.44E-01,1.84E-01
1.300657167,0.386470062,5.27E-01,3.53E-01,7.91E-01,2.08E-01
1.400808167,0.440401784,5.58E-01,5.13E-01,8.37E-01,2.34E-01
1.500959167,0.497427802,5.92E-01,-2.49E-01,8.88E-01,2.63E-01
1.601109167,0.55734283,6.06E-01,5.45E-01,9.09E-01,2.76E-01
1.701260167,0.619494898,6.29E-01,1.22E+00,9.44E-01,2.97E-01
1.801411167,0.68408363,6.55E-01,3.36E-01,9.83E-01,3.22E-01
1.901561167,0.750668286,6.72E-01,9.41E-01,1.01E+00,3.39E-01
2.001712167,0.819316027,6.87E-01,5.45E-01,1.03E+00,3.54E-01
2.101863167,0.889553452,7.14E-01,-3.76E-01,1.07E+00,3.82E-01
2.202014167,0.961390777,7.29E-01,-1.16E+00,1.09E+00,3.98E-01
2.302163667,1.034293766,7.28E-01,4.83E-01,1.09E+00,3.98E-01
2.402314667,1.108350208,7.48E-01,-7.55E-01,1.12E+00,4.20E-01
